listing_id,artist,title,label,catalog_number,year,format,format_details,media_condition,sleeve_condition,price,status,ships_from,comments
3747978274,Lonnie Donegan,The Party's Over,Pye Records,7N.15424,1962,"7"", Single",,Very Good Plus (VG+),Generic,GBP 0.58,For Sale,United Kingdom,LIGHT WEAR ONLY - PLAYS EXCELLENT - CLEAN LABELS - COMPANY SLEEVE
3747978298,Lonnie Donegan's Skiffle Group With Chris Barber,Backstairs Session,"Pye Nixa, Pye Nixa","NJE 1014, NJE.1014",1956,"7"", EP",,Very Good Plus (VG+),Near Mint (NM or M-),GBP 3.14,For Sale,United Kingdom,LIGHT WEAR ONLY - PLAYS EXCELLENT. ORIG PLASTIC BAG INNER.
3747978262,Lonnie Donegan,Pick A Bale Of Cotton / Steal Away,Pye Records,7N.15455,1962,"7"", Single",,Very Good Plus (VG+),Generic,GBP 1.13,For Sale,United Kingdom,VG++ VINYL (VERY LIGHT WEAR ONLY). CLEAN LABELS. COMPANY SLEEVE.
3747978238,Long John Baldry,Mexico,Pye Records,7N.17563,1968,"7"", Single, Pus",,Very Good Plus (VG+),Generic,GBP 0.56,For Sale,United Kingdom,VG++ VERY LIGHT WEAR ONLY -  WOL - PLAIN SLEEVE.
3747978235,Long John Baldry,Let The Heartaches Begin,Pye Records,7N.17385,1967,"7"", Single, Sol",,Very Good Plus (VG+),Generic,GBP 1.29,For Sale,United Kingdom,PLAYS EXCELLENT - CLEAN LABELS - COMPANY SLEEVE.
3747978232,The London Symphony Orchestra* And Chambre Choir*,Tommy,Ode Records (2),SP 99001,1972,"2xLP, Album, Pit + Box",,Very Good Plus (VG+),Very Good Plus (VG+),GBP 4.04,For Sale,United Kingdom,VG+ SLIPCASE . VG INNER (BOTTOM EDGE SPLITS). WILL BE POSTED IN PLAIN WHITE SLEEVES. NM BOOKLET &amp;  INSERT.
3747978250,Lonnie Donegan,Lively!,Pye Records,7N.15312,1960,"7"", Single",,Near Mint (NM or M-),Generic,GBP 0.89,For Sale,United Kingdom,THE VINYL HAS VERY FAINT HAIRLINES ONLY AND GRADES VG++ 
3747978283,Lonnie Donegan And His Group*,"Michael, Row The Boat",Pye Records,7N.15371,1961,"7"", Single, Mono",,Very Good Plus (VG+),Generic,GBP 1.14,For Sale,United Kingdom,NM- VINYL. ONE LIGHT MARK ONLY. CLEAN LABELS. COMPANY/BIRTH SLEEVE.
3747978256,Lonnie Donegan,Lorelei,Pye Records,7N.15275,1960,"7"", Single",,Near Mint (NM or M-),Generic,GBP 2.95,For Sale,United Kingdom,LOOKS UNPLAYED ! CLEAN LABELS - COMPANY SLEEVE.  SUPERB !
3747978259,Lonnie Donegan,Pick A Bale Of Cotton / Steal Away,Pye Records,7N.15455,1962,"7"", Single",,Very Good Plus (VG+),No Cover,GBP 1.7,For Sale,United Kingdom,NM- VINYL. UPGRADE COPY.
3747978217,Lolita (3) With W. Scharfenberger & His Orchestra*,Sailor...(Your Home Is The Sea),"Polydor, Polydor","NH 66818, 66818",1960,"7"", Single",,Very Good Plus (VG+),Generic,GBP 0.89,For Sale,United Kingdom,PLAYS EXCELLENT - CLEAN LABELS - COMPANY SLEEVE. BOXED BIEM LOGOS - SCARCE LABEL VARIATION.
3747978223,The London Early Music Group,Music For All Seasons,RCA Red Seal,RL 25129 (2),1978,2xLP + Box,,Near Mint (NM or M-),Near Mint (NM or M-),GBP 7.41,For Sale,United Kingdom,NM BOX &amp; BOOKLET. LOVELY EXAMPLE.
3747978292,The Lonnie Donegan Skiffle Group*,The Lonnie Donegan Skiffle Group,Decca,DFE 6345,1956,"7"", EP, Tri",,Very Good Plus (VG+),Near Mint (NM or M-),GBP 1.9,For Sale,United Kingdom,PLAYS EXCELLENT. 
3747978277,Lonnie Donegan / Lonnie Donegan And His Skiffle Group*,"I Wanna Go Home (The Wreck Of The John ""B"") / Jimmie Brown The Newsboy",Pye Records,7N.15267,1960,"7"", Single",,Near Mint (NM or M-),Generic,GBP 1.76,For Sale,United Kingdom,GLOSSY VINYL - CLEAN LABELS - COMPANY SLEEVE - SUPERB !
3747978244,Longdancer,If It Was So Simple,The Rocket Record Company,PIGL 1,1973,"LP, Album",,Poor (P),Very Good Plus (VG+),GBP 1.45,For Sale,United Kingdom,SLEEVE ONLY - A GREAT UPGRADE FOR A WORN COPY. THIS ONE HAS SOME DISCOLOURING  BUT NO CREASING.
3747978226,The London Pops Orchestra And Chorus,Selections From Camelot and My Fair Lady,Egmont,EGM 8104,0,LP,,Very Good (VG),Very Good Plus (VG+),GBP 4.22,For Sale,United Kingdom,
3747978301,Lord Lawson Comprehensive School Band,Lord Lawson Comprehensive School Band,Look Records (3),LK-LP - 6220,1977,LP,,Near Mint (NM or M-),Near Mint (NM or M-),GBP 4.37,For Sale,United Kingdom,
3747978229,London Symphony Orchestra,The Strauss Family,Polydor,2659 014,1972,2xLP,,Very Good Plus (VG+),Near Mint (NM or M-),GBP 3.0,For Sale,United Kingdom,NM- VINYL.
3747978220,London Boys,London Nights,"WEA, WEA","YZ393, 247 019-7",1989,"7"", Single, Lab",,Near Mint (NM or M-),No Cover,GBP 0.75,For Sale,United Kingdom,MINT UPGRADE COPY.
3747978265,Lonnie Donegan,Puttin' On The Style,Chrysalis,CHR 1158,1978,"LP, Album, Gat",,Near Mint (NM or M-),Very Good Plus (VG+),GBP 3.41,For Sale,United Kingdom,VG++ SLEEVE. LOOKS UNPLAYED ! SOME STELLAR MUSICIANS ON THIS ONE.
3747978253,Lonnie Donegan,Lively!,Pye Records,7N.15312,1960,"7"", Single",,Near Mint (NM or M-),Generic,GBP 1.14,For Sale,United Kingdom,GLOSSY VINYL - CLEAN LABELS - COMPANY SLEEVE - SUPERB !
3747978295,The Lonnie Donegan Skiffle Group*,The Lonnie Donegan Skiffle Group,Decca,DFE 6345,1956,"7"", EP, Tri",,Very Good Plus (VG+),Very Good Plus (VG+),GBP 2.85,For Sale,United Kingdom,NM- VINYL.
3747978304,Lord Rockingham's XI,Hoots Mon,Decca,45-F.11059,1958,"7"", Single",,Very Good Plus (VG+),Generic,GBP 0.83,For Sale,United Kingdom,CLEAN LABELS - PLAIN SLEEVE.
3747978307,Lorne Greene,Ringo / Bonanza,RCA Victor,RCA 1428,1964,"7"", Single",,Very Good Plus (VG+),Generic,GBP 3.41,For Sale,United Kingdom,VG++ VINYL (VERY LIGHT WEAR ONLY). CLEAN LABELS. COMPANY/BIRTH SLEEVE.
3747978310,Lorraine Ellison,Stay With Me,"Warner Bros. Records, Warner Bros. Records","K 16001, WB 5850",0,"7"", Single, RE, RP, 4-P",,Very Good Plus (VG+),Generic,GBP 1.96,For Sale,United Kingdom,NM- VINYL. ONE LIGHT MARK ONLY. CLEAN LABELS. COMPANY/BIRTH SLEEVE.
3747978313,Los Angeles,Momentos / Pequeñas Cosas,Hispavox,H 491,1969,"7"", Single",,Very Good (VG),Very Good Plus (VG+),GBP 0.58,For Sale,United Kingdom,
3747978331,Los Valldemosa,Music From Majorca,Philips,433 615 BE,1962,"7"", EP",,Near Mint (NM or M-),Near Mint (NM or M-),GBP 4.45,For Sale,United Kingdom,
3747978364,The Lounge Lizards*,Big Heart,Island Records,IMA 20,1986,"LP, Album",,Near Mint (NM or M-),Very Good Plus (VG+),GBP 11.43,For Sale,United Kingdom,"FRONT SLEEVE NM, REAR SLEEVE VG++ (A LIGHT CREASE ONLY)."
3747978394,Luciano Pavarotti,Pavarotti's Greatest Hits,"Decca, Decca","D236D 2, S D236D 2",1980,"2xLP, Comp, Gat",,Near Mint (NM or M-),Near Mint (NM or M-),GBP 7.6,For Sale,United Kingdom,OIS ARE NM.
3747978325,Los Lobos,La Bamba,"London Records, London American Recordings, Slash",LASH 13,1987,"7"", Single",,Near Mint (NM or M-),Near Mint (NM or M-),GBP 1.13,For Sale,United Kingdom,THE SLEEVE HAS A SMALL ROUND STICKER WITH NUMBER WRITTEN ON IT IN THE TOP RIGHT CORNER.
3747978385,The Lovin' Spoonful,Daydream,Pye International,7N.25361,1966,"7"", Single, Sol",,Very Good Plus (VG+),Generic,GBP 1.25,For Sale,United Kingdom,LIGHT WEAR ONLY - PLAYS EXCELLENT - CLEAN LABELS - COMPANY SLEEVE
3747978388,The Lovin' Spoonful,Daydream / Summer In The City,Kama Sutra,2013 072,1973,"7"", Single, RE",,Near Mint (NM or M-),Generic,GBP 3.49,For Sale,United Kingdom,FROM A MINT COLLECTION OF 60'S &amp; 70'S SINGLES WERE ARE LISTING THIS AUTUMN (2024). CLEAN LABELS. NM COMPANY/BIRTH SLEEVE.
3747978400,"Beethoven*, Kyung-Wha Chung, Vienna Philharmonic*, Kirill Kondrashin*",Violin Concerto,Decca,SXDL 7508,1980,LP,,Near Mint (NM or M-),Near Mint (NM or M-),GBP 5.38,For Sale,United Kingdom,
